18. Septembre 2010 | 19:38:22 | - AdminImmunity = 1
18. Septembre 2010 | 19:38:22 | - Advertisement = 1
18. Septembre 2010 | 19:38:22 | - FreezeUpdate = 0
18. Septembre 2010 | 19:38:22 | - SpawnTime = 10
18. Septembre 2010 | 19:38:22 | - CheckpointTeleport = 1
18. Septembre 2010 | 19:38:22 | - Airbreak = 1
18. Septembre 2010 | 19:38:22 | - TankMode = 1
18. Septembre 2010 | 19:38:22 | - WarnPlayers = 0
18. Septembre 2010 | 19:38:22 | 1 IP-bans have been loaded.
18. Septembre 2010 | 19:38:22 | 1 temporary bans have been loaded.
18. Septembre 2010 | 19:38:22 | 5 whitelist entries have been loaded.
18. Septembre 2010 | 19:38:22 | 4 blacklist entries have been loaded.
18. Septembre 2010 | 19:38:22 | 41 bad words have been loaded.
18. Septembre 2010 | 19:38:22 | 4 forbidden weapons have been loaded.
18. Septembre 2010 | 19:38:22 | JunkBuster has been configurated.
18. Septembre 2010 | 19:38:22 | JunkBuster has successfully been loaded.
18. Septembre 2010 | 19:45:27 | Current JunkBuster configuration:
18. Septembre 2010 | 19:45:27 | - WeaponHack = 1
18. Septembre 2010 | 19:45:27 | - MoneyHack = 1
18. Septembre 2010 | 19:45:27 | - Jetpack = 1
18. Septembre 2010 | 19:45:27 | - HealthHack = 1
18. Septembre 2010 | 19:45:27 | - ArmourHack = 1
18. Septembre 2010 | 19:45:27 | - DriveBy = 1
18. Septembre 2010 | 19:45:27 | - Spam = 0
18. Septembre 2010 | 19:45:27 | - CommandSpam = 0
18. Septembre 2010 | 19:45:27 | - BadWords = 0
18. Septembre 2010 | 19:45:27 | - CarJackHack = 1
18. Septembre 2010 | 19:45:27 | - TeleportHack = 1
18. Septembre 2010 | 19:45:27 | - MaxPing = 500
18. Septembre 2010 | 19:45:27 | - SpectateHack = 0
18. Septembre 2010 | 19:45:27 | - Blacklist = 1
18. Septembre 2010 | 19:45:27 | - IpBans = 1
18. Septembre 2010 | 19:45:27 | - TempBans = 1
18. Septembre 2010 | 19:45:27 | - SpawnKill = 3
18. Septembre 2010 | 19:45:27 | - CapsLock = 0
18. Septembre 2010 | 19:45:27 | - 3DSpeed = 0
18. Septembre 2010 | 19:45:27 | - MaxSpeed = 220
18. Septembre 2010 | 19:45:27 | - AdminImmunity = 1
18. Septembre 2010 | 19:45:27 | - Advertisement = 1
18. Septembre 2010 | 19:45:27 | - FreezeUpdate = 0
18. Septembre 2010 | 19:45:27 | - SpawnTime = 10
18. Septembre 2010 | 19:45:27 | - CheckpointTeleport = 1
18. Septembre 2010 | 19:45:27 | - Airbreak = 1
18. Septembre 2010 | 19:45:27 | - TankMode = 1
18. Septembre 2010 | 19:45:27 | - WarnPlayers = 0
18. Septembre 2010 | 19:45:27 | 1 IP-bans have been loaded.
18. Septembre 2010 | 19:45:27 | 1 temporary bans have been loaded.
18. Septembre 2010 | 19:45:27 | 5 whitelist entries have been loaded.
18. Septembre 2010 | 19:45:27 | 4 blacklist entries have been loaded.
18. Septembre 2010 | 19:45:27 | 41 bad words have been loaded.
18. Septembre 2010 | 19:45:27 | 4 forbidden weapons have been loaded.
18. Septembre 2010 | 19:45:27 | JunkBuster has been configurated.
18. Septembre 2010 | 19:45:27 | JunkBuster has successfully been loaded.
18. Septembre 2010 | 19:50:51 | Current JunkBuster configuration:
18. Septembre 2010 | 19:50:51 | - WeaponHack = 1
18. Septembre 2010 | 19:50:51 | - MoneyHack = 1
18. Septembre 2010 | 19:50:51 | - Jetpack = 1
18. Septembre 2010 | 19:50:51 | - HealthHack = 1
18. Septembre 2010 | 19:50:51 | - ArmourHack = 1
18. Septembre 2010 | 19:50:51 | - DriveBy = 1
18. Septembre 2010 | 19:50:51 | - Spam = 0
18. Septembre 2010 | 19:50:51 | - CommandSpam = 0
18. Septembre 2010 | 19:50:51 | - BadWords = 0
18. Septembre 2010 | 19:50:51 | - CarJackHack = 1
18. Septembre 2010 | 19:50:51 | - TeleportHack = 1
18. Septembre 2010 | 19:50:51 | - MaxPing = 500
18. Septembre 2010 | 19:50:51 | - SpectateHack = 0
18. Septembre 2010 | 19:50:51 | - Blacklist = 1
18. Septembre 2010 | 19:50:51 | - IpBans = 1
18. Septembre 2010 | 19:50:51 | - TempBans = 1
18. Septembre 2010 | 19:50:51 | - SpawnKill = 3
18. Septembre 2010 | 19:50:51 | - CapsLock = 0
18. Septembre 2010 | 19:50:51 | - 3DSpeed = 0
18. Septembre 2010 | 19:50:51 | - MaxSpeed = 220
18. Septembre 2010 | 19:50:51 | - AdminImmunity = 1
18. Septembre 2010 | 19:50:51 | - Advertisement = 1
18. Septembre 2010 | 19:50:51 | - FreezeUpdate = 0
18. Septembre 2010 | 19:50:51 | - SpawnTime = 10
18. Septembre 2010 | 19:50:51 | - CheckpointTeleport = 1
18. Septembre 2010 | 19:50:51 | - Airbreak = 1
18. Septembre 2010 | 19:50:51 | - TankMode = 1
18. Septembre 2010 | 19:50:51 | - WarnPlayers = 0
18. Septembre 2010 | 19:50:51 | 1 IP-bans have been loaded.
18. Septembre 2010 | 19:50:51 | 1 temporary bans have been loaded.
18. Septembre 2010 | 19:50:51 | 5 whitelist entries have been loaded.
18. Septembre 2010 | 19:50:51 | 4 blacklist entries have been loaded.
18. Septembre 2010 | 19:50:51 | 41 bad words have been loaded.
18. Septembre 2010 | 19:50:51 | 4 forbidden weapons have been loaded.
18. Septembre 2010 | 19:50:51 | JunkBuster has been configurated.
18. Septembre 2010 | 19:50:51 | JunkBuster has successfully been loaded.
18. Septembre 2010 | 19:53:24 | Current JunkBuster configuration:
18. Septembre 2010 | 19:53:24 | - WeaponHack = 1
18. Septembre 2010 | 19:53:24 | - MoneyHack = 1
18. Septembre 2010 | 19:53:24 | - Jetpack = 1
18. Septembre 2010 | 19:53:24 | - HealthHack = 1
18. Septembre 2010 | 19:53:24 | - ArmourHack = 1
18. Septembre 2010 | 19:53:24 | - DriveBy = 1
18. Septembre 2010 | 19:53:24 | - Spam = 0
18. Septembre 2010 | 19:53:24 | - CommandSpam = 0
18. Septembre 2010 | 19:53:24 | - BadWords = 0
18. Septembre 2010 | 19:53:24 | - CarJackHack = 1
18. Septembre 2010 | 19:53:24 | - TeleportHack = 1
18. Septembre 2010 | 19:53:24 | - MaxPing = 500
18. Septembre 2010 | 19:53:24 | - SpectateHack = 0
18. Septembre 2010 | 19:53:24 | - Blacklist = 1
18. Septembre 2010 | 19:53:24 | - IpBans = 1
18. Septembre 2010 | 19:53:24 | - TempBans = 1
18. Septembre 2010 | 19:53:24 | - SpawnKill = 3
18. Septembre 2010 | 19:53:24 | - CapsLock = 0
18. Septembre 2010 | 19:53:24 | - 3DSpeed = 0
18. Septembre 2010 | 19:53:24 | - MaxSpeed = 220
18. Septembre 2010 | 19:53:24 | - AdminImmunity = 1
18. Septembre 2010 | 19:53:24 | - Advertisement = 1
18. Septembre 2010 | 19:53:24 | - FreezeUpdate = 0
18. Septembre 2010 | 19:53:24 | - SpawnTime = 10
18. Septembre 2010 | 19:53:24 | - CheckpointTeleport = 1
18. Septembre 2010 | 19:53:24 | - Airbreak = 1
18. Septembre 2010 | 19:53:24 | - TankMode = 1
18. Septembre 2010 | 19:53:24 | - WarnPlayers = 0
18. Septembre 2010 | 19:53:24 | 1 IP-bans have been loaded.
18. Septembre 2010 | 19:53:24 | 1 temporary bans have been loaded.
18. Septembre 2010 | 19:53:24 | 5 whitelist entries have been loaded.
18. Septembre 2010 | 19:53:24 | 4 blacklist entries have been loaded.
18. Septembre 2010 | 19:53:24 | 41 bad words have been loaded.
18. Septembre 2010 | 19:53:24 | 4 forbidden weapons have been loaded.
18. Septembre 2010 | 19:53:24 | JunkBuster has been configurated.
18. Septembre 2010 | 19:53:24 | JunkBuster has successfully been loaded.
18. Septembre 2010 | 19:56:54 | Current JunkBuster configuration:
18. Septembre 2010 | 19:56:54 | - WeaponHack = 1
18. Septembre 2010 | 19:56:54 | - MoneyHack = 1
18. Septembre 2010 | 19:56:54 | - Jetpack = 1
18. Septembre 2010 | 19:56:54 | - HealthHack = 1
